MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
12/01/2023 00:00:00 - 12/01/2023 01:00:00,BZN|NL,Without Sequence,21.74,,
12/01/2023 01:00:00 - 12/01/2023 02:00:00,BZN|NL,Without Sequence,5.92,,
12/01/2023 02:00:00 - 12/01/2023 03:00:00,BZN|NL,Without Sequence,5.66,,
12/01/2023 03:00:00 - 12/01/2023 04:00:00,BZN|NL,Without Sequence,0.1,,
12/01/2023 04:00:00 - 12/01/2023 05:00:00,BZN|NL,Without Sequence,2.73,,
12/01/2023 05:00:00 - 12/01/2023 06:00:00,BZN|NL,Without Sequence,25.55,,
12/01/2023 06:00:00 - 12/01/2023 07:00:00,BZN|NL,Without Sequence,85.72,,
12/01/2023 07:00:00 - 12/01/2023 08:00:00,BZN|NL,Without Sequence,115.35,,
12/01/2023 08:00:00 - 12/01/2023 09:00:00,BZN|NL,Without Sequence,138.6,,
12/01/2023 09:00:00 - 12/01/2023 10:00:00,BZN|NL,Without Sequence,156.6,,
12/01/2023 10:00:00 - 12/01/2023 11:00:00,BZN|NL,Without Sequence,110,,
12/01/2023 11:00:00 - 12/01/2023 12:00:00,BZN|NL,Without Sequence,111.92,,
12/01/2023 12:00:00 - 12/01/2023 13:00:00,BZN|NL,Without Sequence,106.7,,
12/01/2023 13:00:00 - 12/01/2023 14:00:00,BZN|NL,Without Sequence,102.87,,
12/01/2023 14:00:00 - 12/01/2023 15:00:00,BZN|NL,Without Sequence,110.24,,
12/01/2023 15:00:00 - 12/01/2023 16:00:00,BZN|NL,Without Sequence,108.66,,
12/01/2023 16:00:00 - 12/01/2023 17:00:00,BZN|NL,Without Sequence,107.91,,
12/01/2023 17:00:00 - 12/01/2023 18:00:00,BZN|NL,Without Sequence,130,,
12/01/2023 18:00:00 - 12/01/2023 19:00:00,BZN|NL,Without Sequence,144.5,,
